Activity,"Average hours per day, population",,,,"Average percent engaged in the
activity per day",,,,"Average hours per day for persons
who engaged in the activity",,,
,Men,,Women,,Men,,Women,,Men,,Women,
,2019,2020,2019,2020,2019,2020,2019,2020,2019,2020,2019,2020
"Total, all activities(1)",24,24,24,24,100,100,100,100,24,24,24,24
Personal care activities,9.39,9.46,9.81,9.88,100,99.9,100,100,9.39,9.47,9.81,9.88
Sleeping(2),8.78,8.9,8.89,9.11,100,99.8,99.9,100,8.78,8.92,8.9,9.11
Grooming,0.55,0.51,0.8,0.69,76.5,69.5,83.3,77.7,0.72,0.74,0.96,0.89
Eating and drinking,1.06,1.08,1.06,1.05,96,96.1,95.3,96,1.1,1.13,1.11,1.09
Household activities,1.38,1.64,2.17,2.36,70.3,69.7,84.5,85.1,1.96,2.35,2.56,2.77
Housework,0.27,0.3,0.78,0.87,22.4,20.5,46.3,47.6,1.19,1.47,1.69,1.83
Food preparation and cleanup,0.41,0.42,0.82,0.89,48,47.1,69.4,71.7,0.86,0.89,1.18,1.24
Lawn and garden care,0.27,0.37,0.14,0.17,11.9,16,8.8,10.2,2.31,2.31,1.54,1.65
Household management,0.1,0.11,0.18,0.15,14.7,12.4,22.9,17.9,0.7,0.89,0.8,0.85
Purchasing goods and services,0.35,0.29,0.56,0.47,37.8,33.3,48.2,40.9,0.93,0.86,1.17,1.15
Consumer goods purchases,0.27,0.21,0.43,0.34,34.6,30.3,44.2,36.5,0.78,0.7,0.98,0.93
Professional and personal care services,0.06,0.06,0.12,0.11,5.9,4.4,9.5,8.1,0.98,1.26,1.23,1.41
Caring for and helping household members,0.29,0.24,0.53,0.6,20.8,14.1,26.8,24.8,1.38,1.73,1.99,2.41
Caring for and helping household children,0.25,0.23,0.49,0.55,16.4,12.2,22.1,21.2,1.52,1.88,2.22,2.6
Caring for and helping nonhousehold members,0.11,0.12,0.16,0.16,8.6,5.9,12.7,9.1,1.24,2.08,1.27,1.77
Caring for and helping nonhousehold adults,0.06,0.09,0.07,0.07,6.5,4.6,8.3,5.5,0.89,1.86,0.88,1.27
Working and work-related activities,3.99,3.59,2.68,2.5,51,45.4,37.6,35.6,7.83,7.9,7.13,7.01
Working,3.91,3.52,2.63,2.43,49.6,44,36,33.9,7.88,8.01,7.3,7.17
Educational activities,0.34,0.33,0.41,0.42,6.1,7.1,7.8,8.6,5.6,4.64,5.29,4.94
Attending class,0.16,0.15,0.2,0.21,2.7,3.6,3.9,4,5.81,4.1,5.09,5.11
Homework and research,0.18,0.17,0.21,0.21,4.6,4.9,6.9,6.3,3.91,3.55,3,3.28
"Organizational, civic, and religious activities",0.2,0.14,0.3,0.22,9.9,7.6,16.5,12.7,2.07,1.82,1.84,1.7
Religious and spiritual activities,0.08,0.07,0.17,0.12,5.9,4.8,12.1,8.9,1.44,1.37,1.42,1.36
Volunteering (organizational and civic activities),0.12,0.07,0.13,0.09,4.5,3.4,6.5,4.5,2.66,2.1,2.06,2.1
Leisure and sports,5.36,5.98,4.65,5.1,95.5,95.7,94.5,95.2,5.62,6.25,4.92,5.35
Socializing and communicating,0.59,0.52,0.73,0.56,31.6,24.9,38.5,29,1.87,2.07,1.89,1.93
Watching television,3.01,3.3,2.5,2.83,77.6,78.7,74.8,78.9,3.87,4.19,3.34,3.59
"Participating in sports, exercise, and recreation",0.42,0.44,0.23,0.3,21.7,24.2,18.5,22.6,1.94,1.8,1.26,1.34
"Telephone calls, mail, and e-mail",0.11,0.16,0.19,0.27,15.7,16.2,24.4,25.8,0.73,1,0.78,1.06
Travel,1.22,0.81,1.22,0.76,84.6,68.8,83.8,65.6,1.45,1.18,1.46,1.16
"Other activities, not elsewhere classified",0.19,0.16,0.25,0.22,15,14.8,20.9,19,1.27,1.06,1.2,1.16